id,name,latitude,longitude
KFNL,Fort Collins Loveland Municipal Airport,40.4518013,-105.011001587
KDEN,Denver International Airport,39.861698150635,-104.672996521
CO35,Denver Health Heliport,39.727500915527344,-104.99099731445312
KA50,Colorado Springs East Airport,38.8744010925293,-104.41000366210938
KCOS,City of Colorado Springs Municipal Airport,38.805801391602,-104.70099639893
X-KDEN,Denver Stapleton International Airport,39.774200439453125,-104.87899780273438
